seqnames,start,end,width,strand,name,score,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,geneId,transcriptId,distanceToTSS,ENSEMBL,SYMBOL,GENENAME
chr9,118631185,118631585,401,*,152228,0,Distal Intergenic,9,118592786,118597253,4468,2,105376249,ENST00000770014.1,-33932,NA,LOC105376249,uncharacterized LOC105376249
chr7,136303041,136303441,401,*,138564,0,Promoter (<=1kb),7,136304411,136437444,133034,1,105375523,ENST00000670875.1,-970,ENSG00000232053,LOC105375523,uncharacterized LOC105375523
chr20,1505463,1505863,401,*,84508,0,Intron (ENST00000824325.1/ENST00000824325.1, intron 1 of 1),20,1472668,1491587,18920,2,284759,ENST00000486775.5,-13876,ENSG00000196209,SIRPB2,signal regulatory protein beta 2
chr5,180484385,180484785,401,*,121648,0,Intron (ENST00000732165.1/102725231, intron 1 of 1),5,180494379,180578358,83980,1,57472,ENST00000261951.9,-9594,ENSG00000113300,CNOT6,CCR4-NOT transcription complex subunit 6
chr1,44553760,44554160,401,*,3664,0,Intron (ENST00000355387.6/55182, intron 2 of 14),1,44545493,44545552,60,1,100847089,ENST00000581357.1,8267,ENSG00000263381,MIR5584,microRNA 5584
chr5,53326355,53326755,401,*,114420,0,Promoter (<=1kb),5,53297872,53326565,28694,2,107986380,ENST00000648942.1,0,NA,LOC107986380,uncharacterized LOC107986380
chr8,30517810,30518210,401,*,141165,0,Intron (ENST00000339877.8/11030, intron 5 of 6),8,30500528,30504560,4033,2,124901929,ENST00000792228.1,-13250,NA,LOC124901929,uncharacterized LOC124901929
chr15,79793006,79793406,401,*,51030,0,Distal Intergenic,15,79832466,79833554,1089,2,124903536,ENST00000560760.1,40148,NA,LOC124903536,uncharacterized LOC124903536
chr1,59136481,59136881,401,*,4683,0,Intron (ENST00000842947.1/100131060, intron 5 of 5),1,59132473,59146827,14355,2,729467,ENST00000587839.2,9946,ENSG00000224609,HSD52,uncharacterized LOC729467
chr6,111890993,111891393,401,*,127691,0,Intron (ENST00000807055.1/102724646, intron 2 of 3),6,111900489,111901851,1363,2,105377946,ENST00000449069.2,10458,ENSG00000227012,LINC02527,long intergenic non-protein coding RNA 2527
chr6,13558746,13559146,401,*,122724,0,Distal Intergenic,6,13572066,13574163,2098,2,105374937,ENST00000769395.1,15017,ENSG00000300133,LOC105374937,uncharacterized LOC105374937
chr16,243343,243743,401,*,52464,0,Intron (ENST00000653392.1/83986, intron 1 of 13),16,240188,254619,14432,1,83986,ENST00000417499.1,3155,ENSG00000167930,FAM234A,family with sequence similarity 234 member A
chr1,91080616,91081016,401,*,6405,0,Distal Intergenic,1,90916185,91022272,106088,2,84146,ENST00000361321.5,-58344,ENSG00000122482,ZNF644,zinc finger protein 644
chr11,30187072,30187472,401,*,24369,0,Intron (ENST00000662729.1/105376607, intron 3 of 4),11,30044053,30161019,116967,2,105376607,ENST00000669123.1,-26053,ENSG00000254532,ARL14EP-DT,ARL14EP divergent transcript
chr4,84679039,84679439,401,*,107761,0,Exon (ENST00000514711.2/23001, exon 54 of 57),4,84672291,84682948,10658,2,23001,ENST00000425179.2,3509,ENSG00000163625,WDFY3,WD repeat and FYVE domain containing 3
chr4,108733778,108734178,401,*,108720,0,Distal Intergenic,4,108747782,108751006,3225,2,64850,ENST00000503912.1,16828,ENSG00000164089,ETNPPL,ethanolamine-phosphate phospho-lyase
chr11,12771750,12772150,401,*,23506,0,Intron (ENST00000527636.7/7003, intron 3 of 12),11,12828121,12865539,37419,1,7003,ENST00000525312.1,-55971,ENSG00000187079,TEAD1,TEA domain transcription factor 1
chr9,18061813,18062213,401,*,147941,0,Intron (ENST00000680146.1/92949, intron 1 of 29),9,17905441,17907336,1896,2,105375987,ENST00000802488.1,-154477,NA,LOC105375987,uncharacterized LOC105375987
chr8,107160279,107160679,401,*,144781,0,Exon (ENST00000801379.1/ENST00000801379.1, exon 1 of 2),8,107165861,107166301,441,2,105375701,ENST00000801175.1,5622,ENSG00000304228,LOC105375701,uncharacterized LOC105375701
chr12,82124778,82125178,401,*,34947,0,Distal Intergenic,12,82142923,82159039,16117,2,105369873,ENST00000729692.1,33861,NA,LOC105369873,uncharacterized LOC105369873
chr10,79611198,79611598,401,*,19381,0,Promoter (<=1kb),10,79610961,79611898,938,1,653509,ENST00000486922.1,237,ENSG00000122852,SFTPA1,surfactant protein A1
chr13,109281605,109282005,401,*,41890,0,Promoter (<=1kb),13,109281821,109288639,6819,1,105370357,ENST00000732280.1,0,ENSG00000223617,LINC00370,long intergenic non-protein coding RNA 370
chr15,41438199,41438599,401,*,48186,0,Exon (ENST00000558298.5/23168, exon 2 of 3),15,41417132,41452994,35863,1,23168,ENST00000462276.1,21067,ENSG00000137815,RTF1,RTF1 homolog, Paf1/RNA polymerase II complex component
chr13,112486464,112486864,401,*,42099,0,Promoter (2-3kb),13,112485844,112489823,3980,2,10426,ENST00000469302.1,2959,ENSG00000126216,TUBGCP3,tubulin gamma complex component 3
chr5,14199825,14200225,401,*,112992,0,Intron (ENST00000698541.1/7204, intron 1 of 36),5,14183798,14399400,215603,1,7204,ENST00000509967.6,16027,ENSG00000038382,TRIO,trio Rho guanine nucleotide exchange factor
chr9,22645911,22646311,401,*,148240,0,Promoter (<=1kb),9,22646102,22824213,178112,1,441389,ENST00000436786.2,0,ENSG00000234840,LINC01239,long intergenic non-protein coding RNA 1239
chr12,101086465,101086865,401,*,35927,0,Exon (ENST00000644049.1/121601, exon 19 of 30),12,101047988,101128627,80640,1,121601,ENST00000550015.1,38477,ENSG00000151572,ANO4,anoctamin 4
chr8,116134708,116135108,401,*,145018,0,Intron (ENST00000505156.2/100859921, intron 4 of 13),8,116289622,116292201,2580,1,124902005,ENST00000835418.1,-154514,ENSG00000287826,LOC124902005,uncharacterized LOC124902005
chr5,96118355,96118755,401,*,116729,0,Intron (ENST00000502645.3/831, intron 2 of 5),5,96079138,96079212,75,1,693168,ENST00000384846.1,39217,ENSG00000207578,MIR583,microRNA 583
chr19,43224533,43224933,401,*,69860,0,Intron (ENST00000489959.5/284344, intron 4 of 8),19,43219988,43220871,884,2,284344,ENST00000495431.1,-3662,ENSG00000293116,LOC284344,uncharacterized LOC284344
chr12,89890190,89890590,401,*,35283,0,Intron (ENST00000651272.1/105369890, intron 3 of 6),12,89882665,89937143,54479,1,105369890,ENST00000547370.5,7525,NA,LOC105369890,uncharacterized LOC105369890
chr3,168977654,168978054,401,*,102275,0,Distal Intergenic,3,169003013,169005466,2454,1,105374201,ENST00000494900.2,-24959,NA,LINC01997,long intergenic non-protein coding RNA 1997
chr17,57834397,57834797,401,*,61054,0,3' UTR,17,57848736,57849997,1262,2,51649,ENST00000579768.1,15200,ENSG00000181610,MRPS23,mitochondrial ribosomal protein S23
chr3,69032113,69032513,401,*,97314,0,Intron (ENST00000482368.2/ENST00000482368.2, intron 1 of 1),3,69024799,69028098,3300,2,7110,ENST00000645406.1,-4015,ENSG00000144747,TMF1,TATA element modulatory factor 1
chr7,43249009,43249409,401,*,133962,0,Promoter (<=1kb),7,43239066,43249268,10203,2,124901619,ENST00000457315.1,0,ENSG00000228680,LOC124901619,uncharacterized LOC124901619
chr4,83889811,83890211,401,*,107740,0,Intron (ENST00000513489.5/101928978, intron 4 of 5),4,83796421,83803135,6715,2,105377315,ENST00000827819.1,-86676,ENSG00000250546,LOC105377315,uncharacterized LOC105377315
chr22,16896129,16896529,401,*,90574,0,Distal Intergenic,22,16827695,16829336,1642,1,27437,ENST00000809660.1,68434,ENSG00000290408,HSFY1P1,HSFY1 pseudogene 1
chr4,168384846,168385246,401,*,111415,0,Intron (ENST00000682922.1/91351, intron 29 of 37),4,168356735,168380806,24072,2,91351,ENST00000510590.1,-4040,ENSG00000181381,DDX60L,DExD/H-box 60 like
chr13,72920043,72920443,401,*,40518,0,Intron (ENST00000326291.11/10464, intron 13 of 17),13,72884444,72893871,9428,1,10464,ENST00000486330.1,35599,ENSG00000083535,PIBF1,progesterone immunomodulatory binding factor 1
chr9,118529216,118529616,401,*,152220,0,Intron (ENST00000770012.1/105376249, intron 4 of 5),9,118514655,118597203,82549,2,105376249,ENST00000770012.1,67587,NA,LOC105376249,uncharacterized LOC105376249
chr4,6727188,6727588,401,*,104640,0,Exon (ENST00000839190.1/ENST00000839190.1, exon 1 of 2),4,6716174,6717664,1491,1,55330,ENST00000320776.5,11014,ENSG00000186222,BLOC1S4,biogenesis of lysosomal organelles complex 1 subunit 4
chr12,101127483,101127883,401,*,35928,0,3' UTR,12,101047988,101128627,80640,1,121601,ENST00000550015.1,79495,ENSG00000151572,ANO4,anoctamin 4
chr15,75531160,75531560,401,*,50699,0,Intron (ENST00000618819.5/5780, intron 1 of 12),15,75513191,75524274,11084,2,5780,ENST00000561731.1,-6886,ENSG00000169410,PTPN9,protein tyrosine phosphatase non-receptor type 9
chr20,1539851,1540251,401,*,84511,0,3' UTR,20,1534251,1551939,17689,2,128646,ENST00000429387.5,11688,ENSG00000125900,SIRPD,signal regulatory protein delta
chr1,6422887,6423287,401,*,390,0,Promoter (1-2kb),1,6412418,6424670,12253,2,54626,ENST00000377837.5,1383,ENSG00000069812,HES2,hes family bHLH transcription factor 2
chr7,117760339,117760739,401,*,137622,0,Promoter (<=1kb),7,117735331,117760647,25317,2,83992,ENST00000435233.5,0,ENSG00000077063,CTTNBP2,cortactin binding protein 2
chr10,107553524,107553924,401,*,20952,0,Distal Intergenic,10,107689556,107713518,23963,1,101927573,ENST00000757239.1,-135632,ENSG00000298678,LOC101927573,uncharacterized LOC101927573
chr4,75800966,75801366,401,*,107233,0,Exon (ENST00000514213.7/8615, exon 17 of 24),4,75805009,75806555,1547,1,8615,ENST00000508454.1,-3643,ENSG00000138768,USO1,USO1 vesicle transport factor
chr20,60447714,60448114,401,*,88271,0,Intron (ENST00000668055.1/284757, intron 3 of 4),20,60469672,60470721,1050,2,101928048,ENST00000812782.1,22607,NA,LOC101928048,uncharacterized LOC101928048
chr1,41440361,41440761,401,*,3410,0,Intron (ENST00000767839.1/105378678, intron 1 of 1),1,41433234,41465246,32013,1,105378678,ENST00000767838.1,7127,NA,LOC105378678,uncharacterized LOC105378678
chr8,41691008,41691408,401,*,141755,0,Promoter (<=1kb),8,41668341,41690285,21945,2,286,ENST00000518061.1,-723,ENSG00000029534,ANK1,ankyrin 1
chr10,108782475,108782875,401,*,20996,0,Intron (ENST00000653086.1/105378478, intron 3 of 4),10,108710518,108839363,128846,1,105378478,ENST00000421481.1,71957,ENSG00000223381,LINC02661,long intergenic non-protein coding RNA 2661
chr9,33719031,33719431,401,*,148483,0,Distal Intergenic,9,33732975,33738416,5442,2,101929688,ENST00000422764.1,18985,ENSG00000235481,UBE2R2-AS1,UBE2R2 antisense RNA 1
chr3,115961381,115961781,401,*,99250,0,Promoter (<=1kb),3,115960953,115977947,16995,1,107986116,ENST00000750390.1,428,NA,LOC107986116,uncharacterized LOC107986116
chr15,73741482,73741882,401,*,50512,0,Promoter (<=1kb),15,73739927,73740615,689,2,388135,ENST00000558834.1,-867,ENSG00000205363,INSYN1,inhibitory synaptic factor 1
chr5,71528230,71528630,401,*,115414,0,Intron (ENST00000358731.9/55814, intron 25 of 38),5,71532374,71567820,35447,1,55814,ENST00000525844.1,-3744,ENSG00000145734,BDP1,BDP1 general transcription factor IIIB subunit
chr15,48221896,48222296,401,*,48548,0,Promoter (<=1kb),15,48222328,48304076,81749,1,6557,ENST00000558252.5,-32,ENSG00000074803,SLC12A1,solute carrier family 12 member 1
chr3,81550150,81550550,401,*,97923,0,Promoter (2-3kb),3,81547854,81549511,1658,1,124906198,ENST00000732932.1,2296,NA,LOC124906198,uncharacterized LOC124906198
chr18,14577961,14578361,401,*,64120,0,Promoter (<=1kb),18,14555182,14576998,21817,2,105372004,ENST00000794866.1,-963,ENSG00000303474,LOC105372004,uncharacterized LOC105372004
chr7,140212008,140212408,401,*,138790,0,Distal Intergenic,7,140230904,140254193,23290,1,107986854,ENST00000825225.1,-18496,ENSG00000307342,LOC107986854,uncharacterized LOC107986854
chr1,23112103,23112503,401,*,1862,0,Intron (ENST00000475164.3/7798, intron 1 of 4),1,23084030,23133679,49650,2,7798,ENST00000475164.3,21176,ENSG00000169641,LUZP1,leucine zipper protein 1
chr9,87157438,87157838,401,*,149982,0,Exon (ENST00000623052.2/401535, exon 2 of 2),9,87148785,87156907,8123,1,401535,ENST00000836295.1,8653,ENSG00000204446,LINC02872,long intergenic non-protein coding RNA 2872
chr1,16781265,16781665,401,*,1301,0,Intron (ENST00000466256.6/9696, intron 1 of 8),1,16760837,16770237,9401,2,11223,ENST00000545160.1,-11028,ENSG00000186715,MST1L,macrophage stimulating 1 like (pseudogene)
chr4,119748747,119749147,401,*,109257,0,Intron (ENST00000770494.1/ENST00000770494.1, intron 1 of 2),4,119799096,119804500,5405,2,101927007,ENST00000512219.1,55353,ENSG00000250772,LINC01365,long intergenic non-protein coding RNA 1365
chr20,24507248,24507648,401,*,85903,0,Intron (ENST00000376862.4/79953, intron 1 of 3),20,24469899,24472986,3088,1,79953,ENST00000755147.1,37349,ENSG00000101463,SYNDIG1,synapse differentiation inducing 1
chr4,83974233,83974633,401,*,107742,0,Intron (ENST00000824941.1/ENST00000824941.1, intron 2 of 2),4,83796421,83803135,6715,2,105377315,ENST00000827819.1,-171098,ENSG00000250546,LOC105377315,uncharacterized LOC105377315
chr19,8635431,8635831,401,*,67822,0,5' UTR,19,8630671,8638649,7979,1,105372267,ENST00000593792.1,4760,ENSG00000268480,NFILZ,NFIL3 like basic leucine zipper
chr5,169648673,169649073,401,*,120869,0,Intron (ENST00000648741.1/1794, intron 1 of 1),5,169637327,169934871,297545,1,1794,ENST00000519628.2,11346,ENSG00000134516,DOCK2,dedicator of cytokinesis 2
chr8,98951442,98951842,401,*,144194,0,3' UTR,8,98948392,98949591,1200,1,116039,ENST00000518199.1,3050,ENSG00000164920,OSR2,odd-skipped related transciption factor 2
chr7,92872693,92873093,401,*,136251,0,Intron (ENST00000752970.1/101927497, intron 2 of 2),7,92854677,92855483,807,1,101927497,ENST00000752989.1,18016,ENSG00000237819,CDK6-AS1,CDK6 antisense RNA 1
chr1,206799346,206799746,401,*,12125,0,Intron (ENST00000662320.1/29949, intron 2 of 2),1,206768110,206774541,6432,2,3586,ENST00000664374.2,-24805,ENSG00000136634,IL10,interleukin 10
chr16,49019394,49019794,401,*,54400,0,Exon (ENST00000754621.1/ENST00000754621.1, exon 1 of 3),16,49088285,49114077,25793,2,105371241,ENST00000737824.1,94283,NA,LOC105371241,uncharacterized LOC105371241
chr17,68070817,68071217,401,*,61867,0,Distal Intergenic,17,68045468,68046629,1162,1,3838,ENST00000582898.1,25349,ENSG00000182481,KPNA2,karyopherin subunit alpha 2
chr1,109803553,109803953,401,*,7328,0,Distal Intergenic,1,109828355,109871789,43435,1,107985167,ENST00000453347.2,-24402,NA,LINC01768,long intergenic non-protein coding RNA 1768
chr1,221398015,221398415,401,*,13065,0,Distal Intergenic,1,221332156,221336489,4334,2,400804,ENST00000662740.1,-61526,ENSG00000234754,LINC02817,long intergenic non-protein coding RNA 2817
chr12,77442642,77443042,401,*,34726,0,Intron (ENST00000550042.2/89795, intron 1 of 8),12,77379762,77390869,11108,1,124902972,ENST00000552736.3,62880,NA,LOC124902972,uncharacterized LOC124902972
chr7,131488326,131488726,401,*,138199,0,3' UTR,7,131478471,131487962,9492,1,4289,ENST00000468830.1,9855,ENSG00000128585,MKLN1,muskelin 1
chr1,34128496,34128896,401,*,2918,0,Intron (ENST00000373381.9/114784, intron 1 of 70),1,33513998,34165230,651233,2,114784,ENST00000373381.9,36334,ENSG00000121904,CSMD2,CUB and Sushi multiple domains 2
chr2,216274158,216274558,401,*,82309,0,Intron (ENST00000273067.5/57574, intron 3 of 3),2,216303325,216321737,18413,1,107985983,ENST00000452736.1,-28767,NA,MARCHF4-AS1,MARCHF4 antisense RNA 1
chr11,59918704,59919104,401,*,25531,0,Distal Intergenic,11,59938432,59949026,10595,1,255649,ENST00000644529.1,-19328,ENSG00000284873,OOSP1,oocyte secreted protein 1
chr4,14096507,14096907,401,*,105025,0,Intron (ENST00000715489.1/107986182, intron 7 of 8),4,14111880,14114746,2867,1,152742,ENST00000715507.2,-14973,ENSG00000250634,LINC01085,long intergenic non-protein coding RNA 1085
chr2,61436007,61436407,401,*,74677,0,Intron (ENST00000398571.7/9736, intron 1 of 79),2,61417244,61417378,135,2,100124537,ENST00000384210.1,-18629,ENSG00000206937,SNORA70B,small nucleolar RNA, H/ACA box 70B
chr1,44645489,44645889,401,*,3674,0,Promoter (2-3kb),1,44643132,44651723,8592,1,55182,ENST00000480686.5,2357,ENSG00000187147,RNF220,ring finger protein 220
chr9,85881557,85881957,401,*,149870,0,Intron (ENST00000721715.1/389765, intron 10 of 11),9,85840154,85849728,9575,1,389765,ENST00000721738.1,41403,ENSG00000290924,LOC389765,kinesin family member 27 pseudogene
chr12,100799783,100800183,401,*,35909,0,Intron (ENST00000549155.6/121601, intron 3 of 10),12,100794807,101128641,333835,1,121601,ENST00000392979.7,4976,ENSG00000151572,ANO4,anoctamin 4
chr6,19705600,19706000,401,*,123229,0,Intron (ENST00000653002.1/107986575, intron 4 of 8),6,19324988,19690876,365889,2,107986575,ENST00000636202.1,-14724,NA,LOC107986575,uncharacterized LOC107986575
chr1,10898026,10898426,401,*,817,0,Distal Intergenic,1,10946475,10947870,1396,2,148345,ENST00000468348.1,49444,ENSG00000175262,CIROZ,ciliated left-right organizer protein containing ZP-N domains
chr16,19005692,19006092,401,*,53557,0,Intron (ENST00000569532.5/79905, intron 1 of 14),16,18984287,19063942,79656,1,79905,ENST00000421369.3,21405,ENSG00000170537,TMC7,transmembrane channel like 7
chr5,169770659,169771059,401,*,120882,0,Intron (ENST00000520908.7/1794, intron 25 of 51),5,169779571,169875720,96150,1,1794,ENST00000696258.1,-8512,ENSG00000134516,DOCK2,dedicator of cytokinesis 2
chr9,84062653,84063053,401,*,149784,0,Promoter (<=1kb),9,84063443,84094577,31135,1,101927575,ENST00000423515.2,-390,ENSG00000227463,LOC101927575,uncharacterized LOC101927575
chr9,132729761,132730161,401,*,153395,0,Promoter (2-3kb),9,132725583,132727598,2016,2,158067,ENST00000467161.1,-2163,ENSG00000165695,AK8,adenylate kinase 8
chr14,23124968,23125368,401,*,42468,0,3' UTR,14,23117036,23120256,3221,2,1053,ENST00000696121.1,-4712,ENSG00000092067,CEBPE,CCAAT enhancer binding protein epsilon
chr5,14041610,14042010,401,*,112968,0,Distal Intergenic,5,13690328,14011818,321491,2,1767,ENST00000681290.1,-29792,ENSG00000039139,DNAH5,dynein axonemal heavy chain 5
chr20,21609221,21609621,401,*,85752,0,Intron (ENST00000687963.1/101929625, intron 1 of 3),20,21612644,21619674,7031,1,101929625,ENST00000624385.1,-3023,NA,LINC01727,long intergenic non-protein coding RNA 1727
chr7,28749182,28749582,401,*,132954,0,Exon (ENST00000461921.5/9586, exon 4 of 4),7,28724300,28726731,2432,1,9586,ENST00000468813.1,24882,ENSG00000146592,CREB5,cAMP responsive element binding protein 5
chr1,185369778,185370178,401,*,10874,0,Intron (ENST00000809380.1/124904470, intron 1 of 3),1,185323846,185335081,11236,2,100288079,ENST00000565520.2,-34697,ENSG00000293113,GS1-279B7.1,microtubule associated protein 1 light chain 3 beta pseudogene
chr2,74594074,74594474,401,*,75635,0,Intron (ENST00000290536.9/130951, intron 4 of 10),2,74557892,74576939,19048,2,130951,ENST00000464686.5,-17135,ENSG00000159374,M1AP,meiosis 1 associated protein
chr20,60254833,60255233,401,*,88269,0,Promoter (<=1kb),20,60255670,60284588,28919,1,105372698,ENST00000839641.1,-437,NA,LOC105372698,uncharacterized LOC105372698
chr8,143262354,143262754,401,*,146941,0,3' UTR,8,143267433,143273383,5951,1,2738,ENST00000519876.1,-4679,ENSG00000250571,GLI4,GLI family zinc finger 4
chr15,100971502,100971902,401,*,52358,0,Intron (ENST00000527698.1/79705, intron 2 of 2),15,100924603,101069068,144466,1,79705,ENST00000531270.5,46899,ENSG00000154237,LRRK1,leucine rich repeat kinase 1
chr14,104749632,104750032,401,*,46978,0,Distal Intergenic,14,104753147,104757479,4333,1,10572,ENST00000535554.4,-3115,ENSG00000184990,SIVA1,SIVA1 apoptosis inducing factor
chr17,74768118,74768518,401,*,62281,0,3' UTR,17,74771625,74772469,845,2,26151,ENST00000581762.1,3951,ENSG00000109065,NAT9,N-acetyltransferase 9
chr9,81411988,81412388,401,*,149649,0,Distal Intergenic,9,81587664,81590158,2495,1,105376106,ENST00000779997.1,-175276,ENSG00000301585,LOC105376106,uncharacterized LOC105376106
chr20,32316686,32317086,401,*,86133,0,Exon (ENST00000375712.4/9371, exon 5 of 9),20,32277651,32335011,57361,1,9371,ENST00000375712.4,39035,ENSG00000101350,KIF3B,kinesin family member 3B
chr4,35021237,35021637,401,*,105900,0,Distal Intergenic,4,34966241,34966344,104,2,124900893,ENST00000458842.1,-54893,ENSG00000238694,LOC124900893,small nucleolar RNA U13
chr6,52808253,52808653,401,*,125509,0,Intron (ENST00000778528.1/ENST00000778528.1, intron 1 of 2),6,52794133,52803860,9728,2,2938,ENST00000476213.1,-4393,ENSG00000243955,GSTA1,glutathione S-transferase alpha 1
chr2,159682501,159682901,401,*,79254,0,Intron (ENST00000849500.1/29994, intron 2 of 3),2,159695213,159710828,15616,2,29994,ENST00000849511.1,27927,ENSG00000123636,BAZ2B,bromodomain adjacent to zinc finger domain 2B
chr2,36671020,36671420,401,*,73170,0,Distal Intergenic,2,36555688,36646087,90400,2,9637,ENST00000357996.4,-24933,ENSG00000171055,FEZ2,fasciculation and elongation protein zeta 2
chr3,45599819,45600219,401,*,95726,0,Intron (ENST00000465039.5/8994, intron 1 of 7),3,45594751,45686341,91591,1,8994,ENST00000273317.5,5068,ENSG00000144791,LIMD1,LIM domain containing 1
chr12,666964,667364,401,*,30312,0,Distal Intergenic,12,564297,663589,99293,2,4815,ENST00000662884.1,-3375,ENSG00000171840,NINJ2,ninjurin 2
chr9,119221262,119221662,401,*,152248,0,Intron (ENST00000265922.8/1620, intron 5 of 7),9,119153458,119208886,55429,2,1620,ENST00000482797.1,-12376,ENSG00000078725,BRINP1,BMP/retinoic acid inducible neural specific 1
chr1,51956491,51956891,401,*,4081,0,Intron (ENST00000371655.4/5865, intron 2 of 4),1,51907956,51990700,82745,2,5865,ENST00000371655.4,33809,ENSG00000169213,RAB3B,RAB3B, member RAS oncogene family
chr8,116972189,116972589,401,*,145106,0,Intron (ENST00000521243.5/169026, intron 2 of 9),8,116950951,117176714,225764,1,169026,ENST00000427715.2,21238,ENSG00000164756,SLC30A8,solute carrier family 30 member 8
chr2,10402310,10402710,401,*,71553,0,Intron (ENST00000423674.5/3241, intron 2 of 3),2,10407458,10412542,5085,2,124905972,ENST00000757775.1,9832,NA,LOC124905972,uncharacterized LOC124905972
chr1,44515460,44515860,401,*,3662,0,Intron (ENST00000355387.6/55182, intron 2 of 14),1,44545493,44545552,60,1,100847089,ENST00000581357.1,-29633,ENSG00000263381,MIR5584,microRNA 5584
chr8,65950382,65950782,401,*,142594,0,Promoter (<=1kb),8,65950408,65951651,1244,2,107986950,ENST00000814165.1,869,NA,LOC107986950,uncharacterized LOC107986950
chr3,110789315,110789715,401,*,98864,0,Intron (ENST00000803769.1/105374037, intron 2 of 3),3,110588345,110730013,141669,2,105374037,ENST00000803774.1,-59302,NA,LOC105374037,uncharacterized LOC105374037
chr14,74840491,74840891,401,*,45240,0,Intron (ENST00000554107.2/56252, intron 3 of 3),14,74834898,74837309,2412,1,56252,ENST00000549197.1,5593,ENSG00000119596,YLPM1,YLP motif containing 1
chr17,45947436,45947836,401,*,60309,0,Intron (ENST00000680674.1/4137, intron 1 of 10),17,45962321,46018702,56382,1,4137,ENST00000703979.1,-14485,ENSG00000186868,MAPT,microtubule associated protein tau
chr19,50039938,50040338,401,*,70582,0,Intron (ENST00000598809.5/25888, intron 4 of 4),19,50050589,50066793,16205,1,400710,ENST00000527209.1,-10251,ENSG00000204666,ZNF473CR,ZNF473 cis regulating lncRNA
chr2,119196287,119196687,401,*,77469,0,Exon (ENST00000844479.1/107985941, exon 4 of 4),2,119175395,119218475,43081,2,107985941,ENST00000844250.1,21788,NA,LOC107985941,uncharacterized LOC107985941
chr9,16992116,16992516,401,*,147920,0,Intron (ENST00000649137.2/105375983, intron 7 of 9),9,16986550,17018369,31820,2,124902126,ENST00000825003.1,25853,NA,LOC124902126,uncharacterized LOC124902126
chr2,64721199,64721599,401,*,74881,0,Intron (ENST00000476805.2/9792, intron 1 of 1),2,64636533,64751005,114473,2,9792,ENST00000476805.2,29406,ENSG00000179833,SERTAD2,SERTA domain containing 2
chr15,42152053,42152453,401,*,48251,0,Intron (ENST00000397272.7/255189, intron 7 of 19),15,42150665,42156609,5945,2,255189,ENST00000561627.5,4156,ENSG00000168907,PLA2G4F,phospholipase A2 group IVF
chr10,48807839,48808239,401,*,17462,0,Exon (ENST00000325239.12/57705, exon 28 of 62),10,48802738,48824169,21432,1,57705,ENST00000374161.7,5101,ENSG00000128815,WDFY4,WDFY family member 4
chr6,52712116,52712516,401,*,125499,0,Exon (ENST00000763579.1/ENST00000763579.1, exon 5 of 7),6,52671113,52686588,15476,1,28978,ENST00000211314.5,41003,ENSG00000096092,TMEM14A,transmembrane protein 14A
chr12,101076915,101077315,401,*,35926,0,Intron (ENST00000644049.1/121601, intron 16 of 29),12,101047988,101128627,80640,1,121601,ENST00000550015.1,28927,ENSG00000151572,ANO4,anoctamin 4
chr2,170878048,170878448,401,*,79772,0,Distal Intergenic,2,170852488,170861147,8660,1,2571,ENST00000478562.1,25560,ENSG00000128683,GAD1,glutamate decarboxylase 1
chr8,12936275,12936675,401,*,139974,0,Distal Intergenic,8,12945642,13031503,85862,1,57604,ENST00000447063.6,-8967,ENSG00000250305,TRMT9B,tRNA methyltransferase 9B (putative)
chr19,6035560,6035960,401,*,67613,0,Intron (ENST00000303657.10/5990, intron 5 of 17),19,6007866,6026699,18834,2,5990,ENST00000588021.5,-8861,ENSG00000087903,RFX2,regulatory factor X2
chr12,32172846,32173246,401,*,32262,0,Intron (ENST00000548411.6/636, intron 1 of 8),12,32104117,32107528,3412,2,120766143,ENST00000551974.1,-65318,ENSG00000257530,BICD1-AS1,BICD1 antisense RNA 1
chr7,67022569,67022969,401,*,134820,0,Intron (ENST00000359626.10/55253, intron 6 of 15),7,66996853,67239512,242660,1,55253,ENST00000361660.8,25716,ENSG00000198874,TYW1,tRNA-yW synthesizing protein 1 homolog
chr4,14111221,14111621,401,*,105026,0,Promoter (<=1kb),4,14111880,14114746,2867,1,152742,ENST00000715507.2,-259,ENSG00000250634,LINC01085,long intergenic non-protein coding RNA 1085
chr2,10040016,10040416,401,*,71518,0,Promoter (2-3kb),2,10039612,10042776,3165,2,101929882,ENST00000837802.1,2360,NA,KLF11-DT,KLF11 divergent transcript
chr12,75489173,75489573,401,*,34547,0,Promoter (<=1kb),12,75483454,75489820,6367,2,123706544,ENST00000547326.2,247,NA,GLIPR1-AS1,GLIPR1 antisense RNA 1
chr8,109076138,109076538,401,*,144876,0,Distal Intergenic,8,109086585,109121565,34981,1,7201,ENST00000518632.2,-10047,ENSG00000174417,TRHR,thyrotropin releasing hormone receptor
chr3,43512746,43513146,401,*,95567,0,Intron (ENST00000292246.8/55129, intron 11 of 12),3,43366889,43555411,188523,2,55129,ENST00000448045.1,42265,ENSG00000160746,ANO10,anoctamin 10
chrX,68332100,68332500,401,*,156175,0,Intron (ENST00000680612.1/4983, intron 2 of 19),23,68299001,68336452,37452,2,4983,ENST00000486068.1,3952,ENSG00000079482,OPHN1,oligophrenin 1
